Searchable,,Searchable,Searchable,Searchable,,,,
Senior Independent Work,20540,COS ,497,COS,4,Lecture,3,Other
Advanced Algorithm Design,20889,COS ,521,COS,5,Seminar,3,PhilosophyCore
Advanced Cryptography,23001,COS ,533,COS,5,Class,0,Other
Advanced Computer Networks,20892,COS ,561,COS,5,Lecture,0,PhilosophyCore
Extramural Research Internship,20891,COS ,590,COS,5,Seminar,3,Other
Computers in Our World,20484,COS EGR ,109 109 ,COS,1,Class,4,PhilosophyCore
Computer Science: An Interdisciplinary A,20489,COS EGR ,126 126 ,COS,1,Lecture,4,Other
Information Security,20536,COS ELE ,432 432 ,COS,4,Seminar,2,PhilosophyCore
Human-Computer Interface Technology,20550,COS ELE ,436 469 ,COS,4,Class,0,Other
Automated Reasoning about Software,20887,COS ELE ,516 516 ,COS,5,Lecture,4,PhilosophyCore
Theory of Computation,20537,COS MAT ,487 407 ,COS,4,Seminar,3,Other
Intro. to Genomics and Computation,20890,COS MOL QCB ,551 551 551 ,COS,5,Class,0,PhilosophyCore
Scholarly Approaches to Teaching,22231,CTL ,501,CTL,5,Lecture,4,Other
Creative Writing Poetry,21183,CWR ,201,CWR,2,Seminar,0,PhilosophyCore
Creative Writing Poetry,21181,CWR ,201,CWR,2,Class,4,Other
Creative Writing Poetry,21182,CWR ,201,CWR,2,Lecture,1,PhilosophyCore
Creative Writing Poetry,21184,CWR ,201,CWR,2,Seminar,2,Other
Creative Writing Poetry,21185,CWR ,201,CWR,2,Class,0,PhilosophyCore
Creative Writing Poetry,21186,CWR ,201,CWR,2,Lecture,1,Other
Creative Writing Poetry,21187,CWR ,201,CWR,2,Seminar,0,PhilosophyCore
Creative Writing Poetry,21188,CWR ,201,CWR,2,Class,1,Other
Creative Writing (Fiction),21189,CWR ,203,CWR,2,Lecture,1,PhilosophyCore
Creative Writing (Fiction),21190,CWR ,203,CWR,2,Seminar,3,Other
Creative Writing (Fiction),21191,CWR ,203,CWR,2,Class,4,PhilosophyCore
Creative Writing (Fiction),21192,CWR ,203,CWR,2,Lecture,1,Other
Creative Writing (Fiction),21193,CWR ,203,CWR,2,Seminar,3,PhilosophyCore
Creative Writing (Fiction),21194,CWR ,203,CWR,2,Class,0,Other
Creative Writing (Fiction),21195,CWR ,203,CWR,2,Lecture,4,PhilosophyCore
Creative Writing (Fiction),21196,CWR ,203,CWR,2,Seminar,3,Other
Creative Writing (Fiction),21197,CWR ,203,CWR,2,Class,3,PhilosophyCore
Advanced Creative Writing (Poetry),21211,CWR ,301,CWR,3,Lecture,1,Other
Advanced Creative Writing (Poetry),21210,CWR ,301,CWR,3,Seminar,0,PhilosophyCore
Advanced Creative Writing (Fiction),21200,CWR ,303,CWR,3,Class,4,Other
Advanced Creative Writing (Fiction),21201,CWR ,303,CWR,3,Lecture,0,PhilosophyCore
Special Topics in Creative Writing: Writing Autobiography,21219,CWR ,345,CWR,3,Seminar,2,Other
Translation Workshop:To and From Italian,22686,CWR ITA ,307 301 ,CWR,3,Class,0,PhilosophyCore
Exploding Text: Poetry Performance,22235,CWR THR ,217 217 ,CWR,2,Lecture,2,Other
Intro Screenwriting: Writing Short Film,21205,CWR VIS ,348 348 ,CWR,3,Seminar,2,PhilosophyCore
Advanced Screenwriting,21235,CWR VIS ,405 405 ,CWR,4,Class,0,Other
Intro to Screenwriting: Adaptation,21207,CWR VIS ,448 448 ,CWR,4,Lecture,1,PhilosophyCore
Intermediate Czech I,21352,CZE ,105,CZE,1,Seminar,4,Other
Introduction to Ballet,21280,DAN ,207,DAN,2,Class,3,PhilosophyCore
"Power, Structure, and the Human Body",21305,DAN ,210,DAN,2,Lecture,3,Other
Introduction to Contemporary Dance,21244,DAN ,213,DAN,2,Seminar,4,PhilosophyCore
Uncertainty,22237,DAN ,216,DAN,2,Class,2,Other
Choreography Workshop I,21256,DAN ,319A ,DAN,3,Lecture,3,PhilosophyCore
Dance Performance Workshop: Repertory I,21284,DAN ,319B ,DAN,3,Seminar,4,Other
Choreography Workshop II,21290,DAN ,320A ,DAN,3,Class,0,PhilosophyCore
Dance Performance Workshop: Repertory II,21252,DAN ,320B ,DAN,3,Lecture,4,Other
Choreography Workshop III,21262,DAN ,419A ,DAN,4,Seminar,4,PhilosophyCore
Dance Performance Workshop:Repertory III,21254,DAN ,419B ,DAN,4,Class,2,Other
Choreography Workshop IV,21270,DAN ,420A ,DAN,4,Lecture,0,PhilosophyCore
Dance Performance Workshop: Repertory IV,21287,DAN ,420B ,DAN,4,Seminar,3,Other
Amer. Dance Exper.& Africanist Practices,21242,DAN AAS ,211 211 ,DAN,2,Class,4,PhilosophyCore
Introduction to the Radical Imagination,22239,DAN AAS VIS ,223 223 224 ,DAN,2,Lecture,4,Other
FAT: The F-Word and the Public Body,21246,DAN AMS GSS ,312 398 346 ,DAN,3,Seminar,0,PhilosophyCore
Introduction to Dance Across Cultures,21272,DAN ANT ,215 355 ,DAN,2,Class,1,Other
Introduction to Ballet,21367,DAN DAN ,207 207 ,DAN,2,Lecture,0,PhilosophyCore
Writing and Culture of Premodern Korea,22275,EAS ,216,EAS,2,Seminar,3,Other
Junior Seminar,22281,EAS ,300,EAS,3,Class,1,PhilosophyCore
Japanese Film & Media Studies,22277,EAS ,303,EAS,3,Lecture,1,Other
Contemporary Korean Media Cultures,22278,EAS ,365,EAS,3,Seminar,1,PhilosophyCore
Chinese Intellectual History,21179,EAS ,507,EAS,5,Class,4,Other
Chinese Literature: The Verses of Chu (Chuci),20371,EAS ,531,EAS,5,Lecture,3,PhilosophyCore
Readings in Chinese Literature: Prose and Poetry of the Northern Song,22204,EAS ,533,EAS,5,Seminar,0,Other
Modern Japanese Prose,21177,EAS ,542,EAS,5,Class,3,PhilosophyCore
Readings in Kanbun,21341,EAS ,545,EAS,5,Lecture,2,Other
Readings in Japanese Academic Style,21344,EAS ,563,EAS,5,Seminar,3,PhilosophyCore
Presentiments: Towards Modern Korean Lit,22757,EAS ,574,EAS,5,Class,4,Other
Japanese Film and Media Studies,21175,EAS ,581,EAS,5,Lecture,1,PhilosophyCore
Japanese Society and Culture,22473,EAS ANT ,225 323 ,EAS,2,Seminar,0,Other
Japan Anthropology in Historical Perspec,21337,EAS ANT ,549 549 ,EAS,5,Class,0,PhilosophyCore
Empire to Nation: Japanese Lit and Film,22474,EAS COM ,310 312 ,EAS,3,Lecture,0,Other
Cinematic Translation,22280,EAS COM ,325 385 ,EAS,3,Seminar,4,PhilosophyCore
"Seeing the Interior: Cinema, Media, Inve",21176,EAS COM ,594 594 ,EAS,5,Class,0,Other
Intell Hist of China to the 5th Century,22949,EAS HIS ,415 415 ,EAS,4,Lecture,1,PhilosophyCore
Readings in Ancient Japanese History,22756,EAS HIS ,528 548 ,EAS,5,Seminar,4,Other
Introduction to Microeconomics,20674,ECO ,100,ECO,1,Class,3,PhilosophyCore
Introduction to Macroeconomics,20683,ECO ,101,ECO,1,Lecture,4,Other
Microeconomic Theory,20693,ECO ,300,ECO,3,Seminar,1,PhilosophyCore
Econometrics,20700,ECO ,302,ECO,3,Class,1,Other
Microeconomic Theory:A Math Approach,20705,ECO ,310,ECO,3,Lecture,2,PhilosophyCore
Econometrics: A Mathematical Approach,20714,ECO ,312,ECO,3,Seminar,1,Other
The Economics of Uncertainty,22924,ECO ,317,ECO,3,Class,2,PhilosophyCore
Industrial Organization,20719,ECO ,321,ECO,3,Lecture,3,Other
Law and Economics,20721,ECO ,324,ECO,3,Seminar,0,PhilosophyCore
Economics of the Internet,20722,ECO ,326,ECO,3,Class,1,Other
Economics of the Labor Market,20723,ECO ,331,ECO,3,Lecture,1,PhilosophyCore
Money and Banking,20726,ECO ,342,ECO,3,Seminar,1,Other
Economic Inequality and the Role of Gov,23021,ECO ,343,ECO,3,Class,2,PhilosophyCore
International Monetary Economics,20729,ECO ,353,ECO,3,Lecture,3,Other
Financial Investments,20733,ECO ,362,ECO,3,Seminar,4,PhilosophyCore
Urban Economics,22926,ECO ,382,ECO,3,Class,3,Other
Strategy and Information,20746,ECO ,418,ECO,4,Lecture,2,PhilosophyCore
Corporate Restructuring,20749,ECO ,464,ECO,4,Seminar,4,Other
"Options, Futures & Financial Derivatives",20750,ECO ,465,ECO,4,Class,1,PhilosophyCore
Fixed Income: Models and Applications,20753,ECO ,466,ECO,4,Lecture,1,Other
"Institutional Finance, Trading, Markets",20755,ECO ,467,ECO,4,Seminar,1,PhilosophyCore
Chinese Financial and Monetary Systems,20757,ECO ,494,ECO,4,Class,0,Other
Microeconomic Theory I,20643,ECO ,501,ECO,5,Lecture,0,PhilosophyCore
Macroeconomic Theory I,20645,ECO ,503,ECO,5,Seminar,0,Other
Directed Research,20647,ECO ,506,ECO,5,Class,0,PhilosophyCore
Topics in Empirical Macroeconomics,23092,ECO ,507,ECO,5,Lecture,4,Other
Advanced Economic Theory I,20648,ECO ,511,ECO,5,Seminar,2,PhilosophyCore
Advanced Econometrics:Time Series Models,23064,ECO ,513,ECO,5,Class,1,Other
Game Theory,23093,ECO ,514,ECO,5,Lecture,2,PhilosophyCore
Econometric Theory I,20649,ECO ,517,ECO,5,Seminar,2,Other
Advanced Macroeconomic Theory I,20652,ECO ,521,ECO,5,Class,3,PhilosophyCore
Public Finance I,20653,ECO ,523,ECO,5,Lecture,1,Other
Economics of Labor,20655,ECO ,531,ECO,5,Seminar,0,PhilosophyCore
Industrial Organization & Public Policy,20656,ECO ,541,ECO,5,Class,3,Other
International Trade I,20657,ECO ,551,ECO,5,Lecture,4,PhilosophyCore
International Monetary Theory and Policy,20658,ECO ,553,ECO,5,Seminar,4,Other
Economic Development I,20659,ECO ,562,ECO,5,Class,2,PhilosophyCore
Health Economics I,23061,ECO ,565,ECO,5,Lecture,3,Other
Microeconomics Theory Workshop,20660,ECO ,581A ,ECO,5,Seminar,0,PhilosophyCore
Industrial Organization Workshop,20661,ECO ,581B ,ECO,5,Class,0,Other
Macroeconomics/Int'l Finance Workshop,20662,ECO ,581C ,ECO,5,Lecture,2,PhilosophyCore
Labor Economics/Industrial Relations,20663,ECO ,581D ,ECO,5,Seminar,4,Other
Research Program in Development Studies,20664,ECO ,581E ,ECO,5,Class,3,PhilosophyCore
Trade Workshop,20665,ECO ,581F ,ECO,5,Lecture,4,Other
Econometric Research Seminar,20666,ECO ,581G ,ECO,5,Seminar,1,PhilosophyCore
Civitas Foundation Finance Seminar,20667,ECO ,581H ,ECO,5,Class,2,Other
Behavioral Economics Workshop,20668,ECO ,581J ,ECO,5,Lecture,2,PhilosophyCore
Political Economy Workshop,20669,ECO ,581K ,ECO,5,Seminar,4,Other
Economics of Europe,20745,ECO EPS ,372 342 ,ECO,3,Class,4,PhilosophyCore
Asset Pricing,20654,ECO FIN ,525 525 ,ECO,5,Lecture,2,Other
Economics and Politics,20651,ECO POL ,520 577 ,ECO,5,Seminar,3,PhilosophyCore
Turning Points in European Culture,20434,ECS EPS ,301 301 ,ECS,3,Class,1,Other
From Black Bile to Digital Depression,22240,ECS FRE COM ,311 316 399 ,ECS,3,Lecture,4,PhilosophyCore
Conservation Biology,20118,EEB ,308,EEB,3,Seminar,0,Other
Evolutionary Biology,20121,EEB ,309,EEB,3,Class,4,PhilosophyCore
Behavioral Ecology,20126,EEB ,313,EEB,3,Lecture,1,Other
Ecology: Species Interactions,20130,EEB ,321,EEB,3,Seminar,4,PhilosophyCore
Sensory Ecology,20138,EEB ,329,EEB,3,Class,1,Other
Evolution of Adaptive Systems,22243,EEB ,409,EEB,4,Lecture,1,PhilosophyCore
"Ecology, Evolution, and Behavior I",21694,EEB ,502,EEB,5,Seminar,4,Other
Recent Research in Population Biology,20142,EEB ,507,EEB,5,Class,2,PhilosophyCore
Colloquium on the Biology of Populations,20143,EEB ,522,EEB,5,Lecture,1,Other
Life on Earth: Chaos and Clockwork,20108,EEB MOL ,211 211 ,EEB,2,Seminar,1,PhilosophyCore
Immune Systems: Molecules to Populations,20144,EEB MOL GHP ,327 327 327 ,EEB,3,Class,3,Other
Foundations: Mathematics of Shape-Motion,22721,EGR ,152,EGR,1,Lecture,1,PhilosophyCore
EPICS (Non-credit),22302,EGR ,250,EGR,2,Seminar,1,Other
Engineering Projects - Community Service,22306,EGR ,251,EGR,2,Class,3,PhilosophyCore
EPICS (Non-credit),22309,EGR ,350,EGR,3,Lecture,0,Other
Engineering Projects - Community Service,22311,EGR ,351,EGR,3,Seminar,3,PhilosophyCore
EPICS (Non-credit),22314,EGR ,450,EGR,4,Class,1,Other
Engineering Projects - Community Service,22317,EGR ,451,EGR,4,Lecture,2,PhilosophyCore
Complex and Regulated Ventures,22254,EGR ,475,EGR,4,Seminar,4,Other
Designing Ventures To Change the World,22337,EGR ,488,EGR,4,Class,4,PhilosophyCore
Leadership Development for Business,22320,EGR ,494,EGR,4,Lecture,1,Other
Entrepreneurial Leadership,22338,EGR ,497,EGR,4,Seminar,3,PhilosophyCore
Ethnography and Wicked Problems,22253,EGR ANT ,385 385 ,EGR,3,Class,1,Other
"Foundations: Mechanics, Energy and Waves",22717,EGR EGR ,151 151 ,EGR,1,Lecture,4,PhilosophyCore
High-Tech Entrepreneurship,22319,EGR ELE ,491 491 ,EGR,4,Seminar,2,Other
"Creativity, Innovation, and Design",22323,EGR ENT ,200 201 ,EGR,2,Class,2,PhilosophyCore
"Creativity, Innovation, and Design",22324,EGR ENT ,200 201 ,EGR,2,Lecture,4,Other
Foundations of Entrepreneurship,22321,EGR ENT ,201 200 ,EGR,2,Seminar,1,PhilosophyCore
Integrated Introduction to EMP: Physics,22326,EGR MAT PHY ,191 191 191 ,EGR,1,Class,0,Other
Integrated Introduction to EMP: Math,22333,EGR MAT PHY APC ,192 192 192 192 ,EGR,1,Lecture,1,PhilosophyCore
Electronic and Photonic Devices,21774,ELE ,208,ELE,2,Seminar,0,Other
Sophomore Independent Work,21798,ELE ,297,ELE,2,Class,2,PhilosophyCore
Designing Real Systems,21796,ELE ,301,ELE,3,Lecture,0,Other
Solid-State Devices,21783,ELE ,341,ELE,3,Seminar,1,PhilosophyCore
Machine Learning for Predictive Data Ana,22508,ELE ,364,ELE,3,Class,3,Other
Statistical Signal Processing,22251,ELE ,382,ELE,3,Lecture,4,PhilosophyCore
Junior Independent Work,21799,ELE ,397,ELE,3,Seminar,4,Other
Biomedical Imaging,21781,ELE ,452,ELE,4,Class,2,PhilosophyCore
Optical Electronics,21792,ELE ,453,ELE,4,Lecture,3,Other
Photonics & Light Wave Communications,21801,ELE ,454,ELE,4,Seminar,3,PhilosophyCore
Smartphone Security and Architecture,21816,ELE ,470,ELE,4,Class,2,Other
Kernel-Based Machine Learning,21784,ELE ,477,ELE,4,Lecture,3,PhilosophyCore
Senior Independent Work,21800,ELE ,497,ELE,4,Seminar,4,Other
Extramural Research Internship,22498,ELE ,514,ELE,5,Class,1,PhilosophyCore
Selected Topics in Computer Engineering,22499,ELE ,518,ELE,5,Lecture,2,Other
Selected Tpcs in Solid-State Electronics: Advanced Topics in Electronic and Optoelectronic Materials and Devices,22500,ELE ,519,ELE,5,Seminar,1,PhilosophyCore
Machine Learn & Pattern Recognition,22501,ELE ,535,ELE,5,Class,4,Other
Special Topics in Information Science: Information Theoretic Security,22641,ELE ,538,ELE,5,Lecture,2,PhilosophyCore
Electronic Devices,22625,ELE ,545,ELE,5,Seminar,1,Other
Implementations of Quantum Information,22502,ELE ,568,ELE,5,Class,0,PhilosophyCore
Security & Privacy in Computing and Comm,22503,ELE ,574,ELE,5,Lecture,2,Other
Wireless and high speed integrated circu,22642,ELE ,582,ELE,5,Seminar,4,PhilosophyCore
Parallel Computation,23019,ELE ,585,ELE,5,Class,0,Other
Contemporary Logic Design,21786,ELE COS ,206 306 ,ELE,2,Lecture,1,PhilosophyCore
"Networks: Friends, Money and Bytes",21769,ELE COS ,381 381 ,ELE,3,Seminar,2,Other
Design of Very Large-Scale Integrated (V,21793,ELE COS ,462 462 ,ELE,4,Class,0,PhilosophyCore
Introduction to Quantum Computing,21782,ELE COS ELE COS ,396 396 396 396 ,ELE,3,Lecture,2,Other
Quantum Mechanics with Applications,22497,ELE ELE ,511 511 ,ELE,5,Seminar,2,PhilosophyCore
Solid State Physics I,21791,ELE ENE ,441 441 ,ELE,4,Class,3,Other
Fundamentals of Biofuels,22920,ENE CBE ,418 418 ,ENE,4,Lecture,0,PhilosophyCore
Renewable Energy and Smart Grids,22827,ENE ELE ,273 273 ,ENE,2,Seminar,3,Other
Solar Energy Conversion,21812,ENE ELE ENV EGR ,431 431 431 431 ,ENE,4,Class,4,PhilosophyCore
Synchrotron and Neutron Techniques for E,21807,ENE MSE MAE CEE CBE ,506 586 536 506 566 ,ENE,5,Lecture,0,Other
"Psychology for Engineering, Energy",22706,ENE PSY ,475 475 ,ENE,4,Seminar,3,PhilosophyCore
Reading Literature: Fiction,21019,ENG ,206,ENG,2,Class,4,Other
Reading Literature: Drama,21135,ENG ,207,ENG,2,Lecture,0,PhilosophyCore
Introduction to Science Fiction,21295,ENG ,215,ENG,2,Seminar,4,Other
Junior Seminar in Critical Writing,21024,ENG ,300,ENG,3,Class,3,PhilosophyCore
Junior Seminar in Critical Writing,23094,ENG ,300,ENG,3,Lecture,1,Other
Junior Seminar in Critical Writing,23095,ENG ,300,ENG,3,Seminar,4,PhilosophyCore
Junior Seminar in Critical Writing,23096,ENG ,300,ENG,3,Class,3,Other
Junior Seminar in Critical Writing,23097,ENG ,300,ENG,3,Lecture,3,PhilosophyCore
American Cinema,21053,ENG ,308,ENG,3,Seminar,2,Other
Chaucer,21030,ENG ,312,ENG,3,Class,2,PhilosophyCore
Shakespeare I,21034,ENG ,320,ENG,3,Lecture,1,Other
James Joyce's <i>Ulysses</i>,22248,ENG ,324,ENG,3,Seminar,0,PhilosophyCore
Topics in 18th-Century Literature: Jane Austen Then and Now,22854,ENG ,339,ENG,3,Class,2,Other
19th-Century Fiction,21274,ENG ,345,ENG,3,Lecture,2,PhilosophyCore
Topics in American Literature: Henry James and William Faulkner,21045,ENG ,357,ENG,3,Seminar,1,Other
"Satire and Satirists, 1500-1700",22950,ENG ,381,ENG,3,Class,0,PhilosophyCore
Topics in Poetry: Contemporary Poetry,21330,ENG ,405,ENG,4,Lecture,0,Other
Special Studies in Medieval Literature: Medievalizing Africa,22948,ENG ,511,ENG,5,Seminar,4,PhilosophyCore
Renaissance Drama: Shakespeare's Language,22136,ENG ,523,ENG,5,Class,4,Other
The Romantic Period: Chameleon Poets: Posture and Imposture in the Romantic Age,22130,ENG ,550,ENG,5,Lecture,2,PhilosophyCore
"Poetics: Poetic Realism: Episodes, 18th Century to the Present",22552,ENG ,563,ENG,5,Seminar,0,Other
Criticism and Theory: Impunity,22139,ENG ,568,ENG,5,Class,4,PhilosophyCore
Literature and Society: The Present Moment: Contemporary Literature,22140,ENG AAS ,574 574 ,ENG,5,Lecture,1,Other
Black Aesthetics,22247,ENG AAS AMS ART ,379 379 389 380 ,ENG,3,Seminar,2,PhilosophyCore
About Faces,22250,ENG AMS ,319 322 ,ENG,3,Class,3,Other
An Introduction to Latino Literature and: Latina/o Literary Worlds,22202,ENG AMS LAO ,354 454 354 ,ENG,3,Lecture,4,PhilosophyCore
Bollywood Cinema,21759,ENG COM ,377 386 ,ENG,3,Seminar,2,Other
Topics in Literature and Ethics: Modern Evil,21120,ENG COM ,416 431 ,ENG,4,Class,3,PhilosophyCore
"Special Studies in the 18th Century: Literature and the Early Enlightenment, 1650-1760",22137,ENG COM ,545 544 ,ENG,5,Lecture,0,Other
"Special Studies in the 19th Century: Realism, Evolution, and the ""Natural History of Man""",22138,ENG COM ,553 556 ,ENG,5,Seminar,4,PhilosophyCore
The Bible as Literature,21927,ENG COM HUM ,390 207 207 ,ENG,3,Class,2,Other
Modern Drama I,21141,ENG COM THR ,364 321 364 ,ENG,3,Lecture,3,PhilosophyCore
Beowulf,21130,ENG MED ,421 421 ,ENG,4,Seminar,3,Other
Topics in Environmental Studies: Building American Style: Land-Use Policies and Rules,22160,ENV ,305,ENV,3,Class,1,PhilosophyCore
The Nature of the City,22964,ENV ,323,ENV,3,Lecture,3,Other
Investigating an Ethos of Sustainability,22640,ENV ,327,ENV,3,Seminar,1,PhilosophyCore
Africa's Food and Conservation Challenge,21142,ENV AFS GHP ,407 407 427 ,ENV,4,Class,4,Other
"Disease Ecology, Economics, and Policy",22626,ENV ECO EEB WWS ,304 328 304 455 ,ENV,3,Lecture,2,PhilosophyCore
Environmental Imaginings & Global Change,22713,ENV ENG ,369 383 ,ENV,3,Seminar,0,Other
Modeling the Earth System: Assessing Str,22707,ENV GEO ,367 367 ,ENV,3,Class,0,PhilosophyCore
Corporate Restructuring,20324,FIN ,519,FIN,5,Lecture,3,Other
Fixed Income: Models and Applications,20325,FIN ,521,FIN,5,Seminar,2,PhilosophyCore
"Options, Futures & Financial Derivatives",20326,FIN ,522,FIN,5,Class,4,Other
Master's Project I,20330,FIN ,560,FIN,5,Lecture,0,PhilosophyCore
"Institutional Finance,Trading and Market",20327,FIN ,567,FIN,5,Seminar,1,Other
Chinese Financial and Monetary Systems,20329,FIN ,594,FIN,5,Class,1,PhilosophyCore
Asset Pricing I:Pricing Models,20322,FIN ORF ,501 514 ,FIN,5,Lecture,3,Other
Beginner's French I,21230,FRE ,101,FRE,1,Seminar,2,PhilosophyCore
Beginner's French I,22772,FRE ,101,FRE,1,Class,1,Other
Beginner's French I,21231,FRE ,101,FRE,1,Lecture,0,PhilosophyCore
Beginner's French I,21232,FRE ,101,FRE,1,Seminar,1,Other
Beginner's French I,21233,FRE ,101,FRE,1,Class,1,PhilosophyCore
Beginner's French I,22773,FRE ,101,FRE,1,Lecture,4,Other
Beginner's French I,22774,FRE ,101,FRE,1,Seminar,1,PhilosophyCore
Beginner's French I,21234,FRE ,101,FRE,1,Class,0,Other
Intensive Beginner's&Intermediate French,21657,FRE ,103,FRE,1,Lecture,3,PhilosophyCore
Intensive Beginner's&Intermediate French,21658,FRE ,103,FRE,1,Seminar,3,Other
Intensive Beginner's&Intermediate French,21660,FRE ,103,FRE,1,Class,0,PhilosophyCore
Intensive Beginner's&Intermediate French,21659,FRE ,103,FRE,1,Lecture,3,Other
Intensive Beginner's&Intermediate French,22775,FRE ,103,FRE,1,Seminar,0,PhilosophyCore
Intermediate French,21661,FRE ,105,FRE,1,Class,3,Other
Intermediate French,21662,FRE ,105,FRE,1,Lecture,4,PhilosophyCore
